,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
0,-411.42325,28.631102,-19.307844,-0.25219423,-9.265969,-12.007793,-12.258695,-12.255995,-21.373018,-1.261482,-9.995827,-8.815245,-5.923202,-7.324559,-4.8736134,-7.4878445,-12.454431,-1.1231377,-14.763628,-1.8187191,-6.2913165,-0.6246232,-5.709775,4.173074,1.3829991,7.075026,3.8389468,6.123958,2.8133254,5.444579,2.1267252,2.7348287,-3.7526746,1.1458266,-2.5148757,1.765553,0.8589074,0.36183205,-3.443622,0.66435516,angry
1,-567.58154,58.059013,-0.3671784,11.210473,-7.266612,-5.761852,-15.832197,-13.208914,-8.705344,4.4128747,-12.729154,-5.801972,-2.7693546,-4.7742457,-8.128805,-3.545618,-5.8324857,-3.8748899,-6.7756495,-2.1390388,-6.4576364,-4.449191,-5.18333,-2.3534403,-9.411492,-1.2277242,-6.1011744,-3.3371997,-4.318491,-0.1639058,-1.5523316,1.6605968,-0.22997804,2.424004,1.7568488,4.6742506,4.580213,4.9041615,1.2123595,2.5261784,disgust
2,-517.54395,58.637646,-10.348402,8.709674,2.0525725,-4.895917,-13.776676,-18.894566,-8.229303,5.2726116,-10.412524,-3.8348463,-0.16273613,-1.8436625,0.06858217,1.3809979,-9.38511,-3.59136,-5.8160152,-4.550105,-5.9717155,3.319531,-4.5418425,6.578294,3.7064452,11.75137,6.472611,8.027327,5.4916925,2.9386127,0.43513072,1.8530048,1.1517432,4.3082805,0.12021484,2.6182976,-2.4915261,1.8501552,-1.5259085,0.27340272,fear
3,-536.45123,74.282646,-6.555147,20.807089,7.5643086,-6.1435966,-1.9045339,-5.278207,-14.727818,1.8994203,-2.7906075,-9.14607,-3.418772,2.8707292,-5.2170143,0.28205004,-5.728608,0.14361428,-4.0255313,-0.057880957,-5.45427,-0.36198598,-6.362064,-3.2250414,-2.776863,-1.2286444,-4.305462,0.45195773,-1.577068,0.4862951,-3.207932,-0.6555188,-2.7488012,-1.2613481,-4.0543313,0.42654592,-1.6446135,-2.6796558,-3.054965,-0.1836763,fear
4,-627.58545,82.72164,-2.941343,19.169683,9.158229,-1.0761474,2.526776,2.4487514,-5.0190063,0.6307301,-1.5822878,3.194578,-1.6938182,3.5882263,0.29710937,1.8053102,-0.7948569,-0.5289609,1.1584002,2.1927216,-3.8173916,3.2068136,-3.5743146,1.7027866,-3.885247,1.403114,-2.6717393,1.7549899,-1.1733327,2.1557097,0.84929734,0.7076013,-0.3634811,1.1524514,-1.4753773,1.3446013,-1.2517796,1.2825477,-1.8468196,-0.3402042,neutral
5,-578.32947,64.28815,-9.464321,11.903102,3.0004833,-3.200373,-10.808216,-11.972885,-20.314331,-3.0211394,-5.6029353,-5.644175,-2.088195,-6.3543334,-4.126435,4.002437,-10.29281,-4.1332774,-4.529993,-2.8112423,-8.143115,-0.89992017,-6.43483,-4.931715,-4.8781157,-1.4617664,-7.349658,-0.3492973,-4.975769,-2.5799348,-5.1699505,-1.3311287,-3.4867692,1.3466992,-1.6256313,1.7245445,1.5907071,1.7138966,-2.1717067,0.44344082,fear
6,-418.0567,35.512634,-22.060276,-0.8055894,-8.090209,-8.061533,-8.752085,-4.9353642,-12.356647,-6.3639603,-6.9817085,-3.8726535,-6.738719,-3.0861154,-9.079021,1.1374551,-10.101111,0.83980316,-0.729743,0.44243324,2.5849195,4.213957,0.9042096,4.2013016,1.6751769,6.137857,-0.96426344,1.8174624,0.86118233,1.3011243,0.2626018,-0.5862197,-1.9391636,1.2106681,-2.2194726,1.4353616,-1.5629317,1.6031516,-0.3602262,-0.18325995,angry
7,-703.17773,83.66419,2.5807478,17.955654,8.522272,4.1541796,-6.605152,-1.4149753,-9.44998,-3.2966998,0.18332782,1.8134713,-2.1191845,-2.6488452,-1.5228308,2.1877887,-3.8744109,-1.5158333,-1.917143,2.561673,-9.493699,1.2508141,-4.301882,-3.5088634,-3.2071843,-0.015326251,-4.6657853,1.8791794,-4.4632497,0.8195657,-4.609497,-2.8590465,-4.8027864,-2.1087217,-6.456587,0.76344556,-3.5000398,-2.748713,-5.637124,-3.7514436,calm
8,-549.4496,42.70326,-25.24985,2.0791929,-14.531152,-16.667852,-14.87665,-18.269558,-17.148703,3.3400908,-12.498616,-5.80871,2.3039804,-8.628638,-2.010148,-2.2081459,-7.002996,5.18067,1.6687297,5.6561584,3.8471386,4.498891,1.2166833,8.704788,3.355317,7.1291943,3.234755,-0.814464,-1.9869143,-1.8248526,-1.4315263,-0.13896152,-4.3776884,-0.76625377,-1.17865,0.6780671,-0.2969289,-0.31906074,-2.8189402,1.3830602,sad
9,-545.9625,52.656555,-11.933815,10.035645,-5.1063824,-8.990133,-13.465871,-13.166502,-11.5821295,2.2503378,-14.792087,-9.176947,3.6312807,-1.6885232,-8.815601,-5.8913784,-6.821744,-3.5651505,-5.020489,0.57666457,2.1869352,5.5328803,1.3246325,6.0441117,0.560187,6.9538655,4.5525937,1.2826188,-1.3756752,-2.340032,-3.4988956,1.8085159,-1.8440305,2.4389112,-1.518907,1.5346057,0.46291086,1.5663277,-0.687026,1.8959984,fear
10,-404.90994,16.60023,-36.330708,-7.111023,-16.848404,-20.31369,-21.639278,-20.140095,-14.270009,2.3217278,-2.5230985,15.997528,9.044185,13.619679,3.1915388,-5.4179935,-6.42158,1.8513491,-6.051531,-2.0834455,0.86491245,6.671906,1.97578,1.5813798,-2.4797401,3.4435637,-3.319234,0.037766296,-1.6161624,0.50361794,-3.3956075,0.8639826,0.5155738,1.299146,-0.48890516,0.45720637,-2.0966728,0.2820818,-1.9323022,-0.06002479,fear
11,-623.82,73.70181,-2.0544207,20.0927,4.9418263,7.59771,-9.789754,-4.293394,-7.320657,-6.637585,-1.987689,-1.6222255,-6.036643,0.69146115,-3.42242,-1.9878013,-2.617642,2.6422265,-3.4845276,4.085788,-2.7297013,1.6980994,-6.0806956,5.0569487,-4.429839,-0.27149808,-0.1885702,2.7307153,-2.0079641,2.5295072,1.7551508,0.6784691,-1.263977,2.6734369,0.8533693,3.774928,1.283457,2.2889698,-1.059536,3.522521,sad
12,-542.1653,72.39305,-9.9316025,18.59092,5.9653144,-6.7669,-2.5089796,-6.423445,-14.248217,1.9388528,-3.5877144,-8.226035,-4.423009,1.0574242,-4.7906575,0.028349755,-7.7194185,1.338299,-4.320476,-1.7617483,-6.866066,-0.6859859,-7.5036507,-1.7404875,-3.0955296,-0.9387551,-4.1063957,-0.03276262,-1.1427493,0.5165796,-3.3644445,-0.7805252,-3.0205865,-1.0718946,-3.7668474,1.5454246,-2.5396264,-3.5145533,-3.6647222,-1.1102477,fear
13,-546.8622,41.322445,-15.798923,4.265064,-15.242181,-7.2751474,-11.512957,-16.350363,-11.568028,-2.7449596,-6.195442,-7.4714785,-7.411329,-1.0488046,-10.232396,-2.6899147,-6.635236,-3.6030362,-6.324103,2.4213917,-6.5345016,3.6133163,-2.7288423,2.7324677,-1.5702195,2.7164931,1.1191014,5.6146975,2.1246169,4.517676,-1.1084614,1.7467351,-0.70957905,2.2505362,0.06171987,-0.38758084,-1.8700972,0.5645498,-0.88245815,-1.6050072,angry
14,-542.4583,54.385258,-13.509761,6.630127,-11.674017,-2.3113234,-8.005013,-10.819757,-8.415474,-0.5591886,-8.503469,-1.0729277,-9.817678,1.6318338,-8.210268,-3.8360617,-5.194663,-4.0069246,-7.8052883,-1.0203851,-3.2509816,-0.9410223,-0.5764513,1.1789343,0.3501271,2.578256,2.9624276,5.4526935,2.676589,4.981249,0.09957594,3.428617,-0.057034325,2.8482995,0.98375803,2.6694164,-0.22519256,1.3317828,-1.047084,-1.4517466,angry
15,-725.62,51.362366,3.977424,15.005022,-8.394345,-2.1588361,-8.783294,-6.447913,-4.021761,-1.1652257,-4.915126,-5.025597,-4.6683664,-0.5132018,-4.906767,-1.4728429,-3.8742533,-1.6311654,-6.035521,0.66824526,-3.8538601,0.2706612,-2.6077862,3.4497964,-4.2337275,1.9772221,-2.8767095,0.99615955,-1.2936581,2.4818978,0.021574002,3.335266,2.067382,5.946183,5.1694393,5.113117,1.9885198,1.951154,0.80317754,1.8064351,neutral
16,-627.9143,39.46648,3.781462,3.7006238,-8.042968,-1.5569963,-10.647531,-6.581285,-8.081257,-5.9890904,-5.8797855,-1.3689363,-8.193338,-2.8287115,-7.8535337,-3.3375297,-7.171931,-0.5437314,-9.047436,-2.4297183,-7.1204476,-0.9256351,-4.195308,2.9224935,-1.6634226,3.6498775,-0.815647,3.1550405,-1.5931181,3.8123558,-1.1168145,3.8332536,-1.0491141,2.232007,-0.5521462,2.8380263,-0.43960494,1.2478123,-1.9294631,1.3917141,disgust
17,-503.04132,67.14283,-19.550444,-0.013703042,-4.138325,-5.9790344,-21.088205,-15.752147,-18.878078,-18.8424,-6.7409267,-8.10109,-13.038135,-5.2574143,-8.500412,-2.5519648,-6.475603,-3.7802904,-1.6714414,-2.091435,-4.1367555,0.8895753,-3.3655958,-0.42089772,-4.996799,1.4468824,-1.3883404,0.37326938,0.9054444,2.1444492,0.16978335,4.332653,0.45588532,6.39196,4.517473,4.226868,0.79901344,2.0829237,-3.0749283,1.4242395,sad
